Rk,I,Team,Split,Year,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,ROE,SO,HBP,BK,WP,BF,WHIP,SO/9,SO/BB,AB,H,2B,3B,HR,SB,CS,BA,OBP,SLG,OPS,BB,SO,TB,GDP,HBP,SH,SF,IBB,BAbip,tOPS+,sOPS+
2,,FLA,Home,1993,35,46,0.432,4.16,298,81,79,2,0,25,750,748,369,347,72,308,28,38,525,17,7,43,3264,1.408,6.3,1.7,2861,748,137,15,72,68,23,0.261,0.334,0.395,0.729,308,525,1131,50,17,47,31,28,0.295,100,103
1,,CHC,Home,1994,20,39,0.339,4.35,212,59,58,1,0,13,552,563,287,267,71,194,22,25,382,11,4,16,2349,1.371,6.23,1.97,2102,563,94,11,71,42,29,0.268,0.33,0.424,0.755,194,382,892,54,11,25,17,22,0.295,99,101
2,,CHC,Home,1993,43,38,0.531,4.1,303,82,78,4,2,26,748,761,382,341,94,252,37,34,472,17,8,25,3181,1.354,5.68,1.87,2857,761,155,23,94,35,34,0.266,0.327,0.435,0.763,252,472,1244,72,17,33,22,37,0.288,102,110
1,,STL,Home,1994,23,33,0.411,5.27,224,56,53,3,1,9,512,573,315,300,66,185,15,17,335,17,2,19,2234,1.48,5.89,1.81,1990,573,135,12,66,41,21,0.288,0.351,0.467,0.818,185,335,930,52,17,26,15,15,0.316,99,117
2,,STL,Home,1993,49,32,0.605,3.51,274,81,78,3,0,26,733,751,321,286,59,171,20,35,388,20,4,24,3067,1.258,4.76,2.27,2815,751,143,20,59,43,27,0.267,0.311,0.395,0.705,171,388,1111,61,20,34,26,20,0.289,90,95
1,,ATL,Home,1994,31,24,0.564,3.77,179,55,46,9,2,11,506,467,231,212,37,185,24,19,433,8,6,12,2135,1.289,7.7,2.34,1901,467,83,11,37,43,18,0.246,0.313,0.359,0.672,185,433,683,29,8,24,17,24,0.297,102,80
2,,ATL,Home,1993,51,30,0.63,3.11,273,81,73,8,2,22,747,689,291,258,52,247,36,36,505,12,6,19,3115,1.253,6.08,2.04,2798,689,130,8,52,66,29,0.246,0.308,0.354,0.662,247,505,991,65,12,37,20,36,0.282,103,84
1,,SFG,Home,1994,29,31,0.483,3.73,217,60,59,1,0,16,550,536,258,228,74,201,18,25,384,24,7,11,2342,1.34,6.28,1.91,2065,536,98,5,74,46,18,0.26,0.329,0.419,0.749,201,384,866,48,24,31,21,18,0.284,100,99
2,,SFG,Home,1993,50,31,0.617,3.27,284,81,78,3,1,23,748,673,293,272,81,235,30,28,526,17,6,15,3081,1.214,6.33,2.24,2764,673,92,8,81,43,31,0.243,0.304,0.37,0.675,235,526,1024,61,17,41,23,30,0.272,93,87
1,,PHI,Home,1994,34,26,0.567,3.55,185,60,55,5,1,21,548,524,243,216,40,198,10,30,380,16,2,31,2347,1.318,6.24,1.92,2092,524,108,5,40,41,14,0.25,0.318,0.364,0.682,198,380,762,35,16,27,14,10,0.287,91,83
